,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
465,UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994,731766,1977
466,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014,352915,1979
467,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002,1035002,1980
468,VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009,740260,1998
469,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006,1014473,1995
470,VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015,1442145,1971
471,VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983,732712,1983
472,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",2013,875320,1989
473,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979,103379,1899
474,VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004,1792044,1961
475,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022,1705696,2017
476,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009,1403161,1958
477,VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999,1396009,1909
478,WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2019,943452,1999
479,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979,1618921,2014
480,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982,104169,1962
481,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022,1437107,2022
482,WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1985,823768,1968
483,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",2002,1000697,1958
484,WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008,783325,1896
485,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976,72971,1852
486,WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009,766704,1970
487,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020,105770,1923
488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009,106040,1970
489,WRK,WestRock,Materials,Paper Packaging,"Atlanta, Georgia",1957,1732845,2015
490,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Seattle, Washington",1985,106535,1900
491,WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",1985,106640,1911
492,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975,107263,1908
493,WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016,1140536,2016
494,GWW,W. W. Grainger,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981,277135,1927
495,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008,1174922,2002
496,XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957,72903,1909
497,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",2011,1524472,2011
498,YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997,1041061,1997
499,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019,877212,1969
500,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2001,1136869,1927
501,ZION,Zions Bancorporation,Financials,Regional Banks,"Salt Lake City, Utah",2001,109380,1873
502,ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013,1555280,1952
